source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_OOB_So_61,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_62,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_63,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_64,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_65,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_OOB_So_66,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_67,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_68,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_69,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_70,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_71,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_72,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_73,21.21,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,21,Consort temperature compensator (ST10) PT1000,205,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_74,15.24,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,15,Consort temperature compensator (ST10) PT1000,229,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_75,15.24,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,15,Consort temperature compensator (ST10) PT1000,229,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_76,15.24,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,15,Consort temperature compensator (ST10) PT1000,229,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_77,15.24,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,15,Consort temperature compensator (ST10) PT1000,229,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_78,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_79,11.19,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,11.21,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_80,11.19,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,11.21,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_81,11.19,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,11.21,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_82,11.19,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,11.21,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_83,NA,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,11.21,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_84,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_85,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_86,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_87,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_88,NA,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_89,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_90,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_91,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_92,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_93,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_94,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_95,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_96,14.57,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,13.89,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_97,22.04,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,16.47,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_98,22.04,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,16.47,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_99,22.04,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,16.47,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_100,22.04,Seabird SBE 911plus CTD,NA,Consort multimeter C3016,16.47,Consort temperature compensator (ST10) PT1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,Seabird SBE 911plus CTD,,,,,,,,
