source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_OOB_So_1,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_2,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_3,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_4,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_5,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_6,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_7,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_8,18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_9,21.81,Seabird SBE 911plus CTD,8,Consort multimeter C3016,21.68,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_10,21.81,Seabird SBE 911plus CTD,8,Consort multimeter C3016,21.68,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_11,21.81,Seabird SBE 911plus CTD,8,Consort multimeter C3016,21.68,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_12,21.81,Seabird SBE 911plus CTD,8,Consort multimeter C3016,21.68,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_13,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_14,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_15,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_16,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_17,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_18,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_19,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_20,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_21,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_22,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_23,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_24,19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3016,19.4,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_25,14.56,Seabird SBE 911plus CTD,8.3,Consort multimeter C3016,14.39,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_26,14.56,Seabird SBE 911plus CTD,8.3,Consort multimeter C3016,14.39,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_27,14.56,Seabird SBE 911plus CTD,8.3,Consort multimeter C3016,14.39,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_28,14.56,Seabird SBE 911plus CTD,8.3,Consort multimeter C3016,14.39,Consort temperature compensator (ST10) PT1000,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_29,11.92,Seabird SBE 911plus CTD,8.2,Consort multimeter C3016,11.73,Consort temperature compensator (ST10) PT1000,244,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_30,11.92,Seabird SBE 911plus CTD,8.2,Consort multimeter C3016,11.73,Consort temperature compensator (ST10) PT1000,244,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_31,11.92,Seabird SBE 911plus CTD,8.2,Consort multimeter C3016,11.73,Consort temperature compensator (ST10) PT1000,244,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_32,11.92,Seabird SBE 911plus CTD,8.2,Consort multimeter C3016,11.73,Consort temperature compensator (ST10) PT1000,244,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_33,NA,NA,NA,NA,NA,NA,NA,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_34,13.85,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,13.62,Consort temperature compensator (ST10) PT1000,280,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_35,13.85,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,13.62,Consort temperature compensator (ST10) PT1000,280,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_36,13.85,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,13.62,Consort temperature compensator (ST10) PT1000,280,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77,Seabird SBE 911plus CTD,,,,,,,,
EMOBON_OOB_So_37,13.85,Seabird SBE 911plus CTD,8.1,Consort multimeter C3016,13.62,Consort temperature compensator (ST10) PT1000,280,Consort ORP electrode (SO57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77,Seabird SBE 911plus CTD,,,,,,,,
